Institute ID,Name,TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100),City,State,Score,Rank
IR-O-U-0569,The University of BurdwanMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)47.0321.4774.9049.0419.92,47.03,21.47,74.9,49.04,19.92,Bardhaman,West Bengal,42.42,87
TLR (100),RPC (100),,,,,,,,,
47.03,21.47,,,,,,,,,
IR-O-U-0744,Ashoka UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)65.476.5960.0076.839.69,65.47,6.59,60,76.83,9.69,Sonepat,Haryana,42.27,88
TLR (100),RPC (100),,,,,,,,,
65.47,6.59,,,,,,,,,
IR-O-U-0225,KLE Academy of Higher Education and ResearchMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)62.5111.0754.8964.0528.06,62.51,11.07,54.89,64.05,28.06,Belagavi,Karnataka,42.27,88
TLR (100),RPC (100),,,,,,,,,
62.51,11.07,,,,,,,,,
IR-O-U-0366,Utkal UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)44.5914.6078.7150.1237.63,44.59,14.6,78.71,50.12,37.63,Bhubaneswar,Odisha,42.27,88
TLR (100),RPC (100),,,,,,,,,
44.59,14.6,,,,,,,,,
IR-O-U-0168,Maharishi MarkandeshwarMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)56.9117.6452.6358.9534.74,56.91,17.64,52.63,58.95,34.74,Ambala,Haryana,42.26,91
TLR (100),RPC (100),,,,,,,,,
56.91,17.64,,,,,,,,,
IR-O-U-0011,Gandhi Institute of Technology and Management More DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)45.8719.3668.9954.6833.01,45.87,19.36,68.99,54.68,33.01,Visakhapatnam,Andhra Pradesh,42.14,92
TLR (100),RPC (100),,,,,,,,,
45.87,19.36,,,,,,,,,
IR-O-U-0451,Chettinad Academy of Research and EducationMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)63.698.6061.4061.2119.54,63.69,8.6,61.4,61.21,19.54,"Kelambakkam, Chengalpattu District",Tamil Nadu,42.04,93
TLR (100),RPC (100),,,,,,,,,
63.69,8.6,,,,,,,,,
IR-O-I-1280,Maharshi Dayanand UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)44.3318.9974.1753.1327.36,44.33,18.99,74.17,53.13,27.36,Rohtak,Haryana,41.88,94
TLR (100),RPC (100),,,,,,,,,
44.33,18.99,,,,,,,,,
IR-O-U-0043,"Vignan's Foundation for Science, Technology and ResearchMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)52.3818.9659.7756.3328.06",52.38,18.96,59.77,56.33,28.06,Guntur,Andhra Pradesh,41.79,95
TLR (100),RPC (100),,,,,,,,,
52.38,18.96,,,,,,,,,
IR-O-U-0190,Shoolini University of Biotechnology and Management SciencesMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)38.8028.1168.6658.2515.71,38.8,28.11,68.66,58.25,15.71,Solan,Himachal Pradesh,41.19,96
TLR (100),RPC (100),,,,,,,,,
38.8,28.11,,,,,,,,,
IR-O-U-0250,Yenepoya UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)61.1911.8949.6271.1420.65,61.19,11.89,49.62,71.14,20.65,Mangaluru,Karnataka,41.03,97
TLR (100),RPC (100),,,,,,,,,
61.19,11.89,,,,,,,,,
IR-O-U-0589,Visva BharatiMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)44.8524.4376.8733.4414.65,44.85,24.43,76.87,33.44,14.65,Santiniketan,West Bengal,40.96,98
TLR (100),RPC (100),,,,,,,,,
44.85,24.43,,,,,,,,,
IR-O-U-0202,Birla Institute of TechnologyMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)49.5227.7456.3949.8612.40,49.52,27.74,56.39,49.86,12.4,Ranchi,Jharkhand,40.69,99
TLR (100),RPC (100),,,,,,,,,
49.52,27.74,,,,,,,,,
IR-O-U-0461,Dr. M. G. R. Educational and Research InstituteMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)54.3512.8957.4063.3524.00,54.35,12.89,57.4,63.35,24,Chennai,Tamil Nadu,40.39,100
TLR (100),RPC (100),,,,,,,,,
54.35,12.89,,,,,,,,,
